file,Sub-IForest,IForest,Sub-LOF,LOF,POLY,MatrixProfile,KShapeAD,SAND,Series2Graph,SR,Sub-PCA,Sub-HBOS,Sub-OCSVM,Sub-MCD,Sub-KNN,KMeansAD,AutoEncoder,CNN,LSTMAD,TranAD,AnomalyTransformer,OmniAnomaly,USAD,Donut,TimesNet,FITS,OFA,Lag-Llama,Chronos,TimesFM,MOMENT (ZS),MOMENT (FT),ts_len,anomaly_len,num_anomaly,avg_anomaly_len,anomaly_ratio,point_anomaly,seq_anomaly
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,0.0856062745908864,0.135409459457928,0.1403213311012040,0.1387389264873460,0.2611759737858600,0.0939662130617208,0.0908610723637126,0.084533370930792,0.1943103742535930,0.1347664162943260,0.1803477717070330,0.08609099357614,0.1292072496284680,0.1288847604236330,0.1354823472499150,0.1185411848114720,0.3208745420860940,0.1221912748107010,0.0998414709812045,0.0934558238927272,0.0964820152661205,0.0855349772895643,0.1243227068557640,0.126143452977839,0.2206943672773090,0.3497496580418920,0.2964453899073020,0.1299027081987450,0.1476664075454670,0.1487694547949120,0.5724368938575730,0.5736119643477880,4031,343,3,114.33333333333300,0.0850905482510543,0,1
002_NAB_id_2_WebService_tr_1500_1st_4106.csv,0.082170716160079,0.1483987589917780,0.1188635426535270,0.1382180178724430,0.6259498149866340,0.0801197660840151,0.0647057647633488,0.1461751761609900,0.5731075776378070,0.1441106385944550,0.5310826230001710,0.0834959452928222,0.1300222222559010,0.1686664471021090,0.144028358142078,0.1784358421461530,0.4612929715690540,0.2122024337880170,0.1274853506505540,0.1222795245223550,0.1221942349983920,0.143125833924387,0.4020646925599210,0.108774800472867,0.1762040359861240,0.270327388202425,0.1489856797728590,0.1358339658285360,0.1362799824453350,0.1375816885068360,0.3397678851333580,0.3406602810304630,6000,637,1,637.0,0.1061666666666670,0,1
005_NAB_id_5_Traffic_tr_594_1st_1645.csv,0.0956743426120377,0.1179809949268220,0.0588915968871072,0.1064317774946500,0.1638654700915050,0.0904390356708668,0.0990009803190569,0.2896035987628440,0.1170604252947290,0.1036001310918960,0.1285931744564570,0.0860839622289313,0.1045440613944820,0.0737336954703616,0.0576330554296657,0.0624789151041981,0.0989320027263887,0.1095108852162450,0.0940633174055891,0.1024029880216430,0.103351018300334,0.1027772546374150,0.1130873554972380,0.1044698276409460,0.1058848475577590,0.1412461767589650,0.0974499345556725,0.1001926037608220,0.089369864981724,0.0994840572301652,0.12870905589428,0.1267562805043210,2379,238,1,238.0,0.1000420344682640,0,1
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,0.362309464107844,0.1592643067063670,0.6614458667384510,0.1550245413291350,0.2466582678127550,0.7040539652584280,0.8405981274496450,0.5707721140575640,0.4013040755533540,0.1309868307466460,0.2275982570031070,0.6247352066908530,0.1458534297035900,0.3141505839431270,0.789817972223631,0.5637036320592720,0.4956368120482680,0.1158439786643550,0.0997914487107231,0.098502174867812,0.1260161432676250,0.099462395620342,0.0880792758972597,0.1355152969670160,0.1148205714906930,0.1101366364521510,0.0976966070839695,0.1106375888050370,0.1297084434414110,0.114509055915983,0.0917967693108481,0.0975519805070187,10319,1030,5,206.0,0.0998158736311658,0,1
008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,0.7493179293503950,0.2400522617544960,0.7716108271126270,0.1203849825657690,0.7961198238540140,0.7360193697595940,0.7740153740580780,0.7140658804857240,0.6839835879684710,0.4385814656619270,0.8033203957417970,0.3786938949942530,0.1035043995130320,0.1199103099439530,0.1738331490857750,0.3504451726865120,0.7860766160989,0.372771684820141,0.3213057527102200,0.3767189716207100,0.1097604272681320,0.3918052029892920,0.83153604537042,0.3407485079331250,0.5320242465348900,0.4185018521429440,0.4760979844764510,0.3389578162608670,0.2598549624371530,0.3413886516130170,0.7944630476846430,0.7932880475448290,4031,402,1,402.0,0.0997271148598362,0,1
009_NAB_id_9_Traffic_tr_500_1st_438.csv,0.1095543109678270,0.1752692798565000,0.102087248002685,0.155073672852027,0.7511137903330030,0.2080631261157050,0.0722105296368818,0.1319222461387690,0.1565542866871030,0.1742642506031740,0.2632657955412330,0.164617337695702,0.267202140680002,0.1670371137320950,0.0909941045161686,0.0935351049240589,0.1463632370838260,0.198473432929451,0.2052428818327100,0.176286427136838,0.1329164825652890,0.1909973582348660,0.2552256622856930,0.188934796087242,0.1739807618753120,0.179458179672047,0.1962586157627520,0.1916579172897850,0.2000397351272980,0.1921490131174500,0.2506001359167480,0.2490732022084100,2161,216,1,216.0,0.0999537251272559,0,1
010_NAB_id_10_WebService_tr_500_1st_271.csv,0.1384585454531600,0.3309065090905960,0.365424335265566,0.3189322786891110,0.5682815766685080,0.149591275009677,0.2118364013316930,0.2321632251810500,0.2353771210277860,0.3215009519651390,0.7569914232962640,0.1452231992218830,0.3105606319630470,0.4021546413516020,0.4518169896904340,0.6160636830026890,0.2207388395849080,0.3763310572564480,0.4512344244090410,0.2711098048324710,0.2943239192127310,0.3738123392947550,0.205768744169678,0.308512567041955,0.3540978606219720,0.3977772391531430,0.4989949348137780,0.320346549205741,0.3830442828375500,0.3280435610994820,0.9813187465510380,0.9802930277012780,1000,148,3,49.333333333333300,0.148,0,1
011_NAB_id_11_Facility_tr_1007_1st_1526.csv,0.0925341082314465,0.4372721826057190,0.1317096635195150,0.2601576850474540,0.9300359177850360,0.1156603517507960,0.1273201853077470,0.1427743890336880,0.8757635738391820,0.4703063563172440,0.8772563883511090,0.1680380963889960,0.4667402615510070,0.0920905184941969,0.0915689166391479,0.0802586272237661,0.4414308213249300,0.3266736359671520,0.0954115893229786,0.0944731431389638,0.1483903188799750,0.0907233513967095,0.0829834855921153,0.2319041686960980,0.3408569228771300,0.6364941211355990,0.2896723988558050,0.3426057167252140,0.215039298912383,0.3376834860736270,0.7158409177289050,0.71652373987746,4031,474,1,474.0,0.1175886876705530,0,1
013_NAB_id_13_Traffic_tr_623_1st_2084.csv,0.0746587552763133,0.2627052459634980,0.0944570881080646,0.1865008117808120,0.7825581445153350,0.0736944851042987,0.8477382699064140,0.8770339015302480,0.8536129148977240,0.2461426235921970,0.8590523300391170,0.0791486131232148,0.4319595545438720,0.0958332274086334,0.100318084371267,0.0738702511747589,0.1570137606713930,0.2699053128538820,0.1124440052119050,0.1208806973484220,0.1665063008714640,0.0975037265098707,0.0792858247532123,0.3504589010916070,0.2811496062511810,0.4938091825232770,0.3048162973697750,0.2955971715612630,0.2212729366118120,0.2770750173872780,0.7589775843112820,0.7602592047484980,2494,248,2,124.0,0.0994386527666399,0,1
014_NAB_id_14_WebService_tr_500_1st_1045.csv,0.2324732688513680,0.0826583437978543,0.236539401742835,0.0961935695896072,0.2570535107102390,0.1474119852186560,0.1289381553108130,0.2814607852566660,0.1074540382794070,0.0783512832536307,0.206458699599878,0.2433528754928510,0.1461551898847110,0.5790752040922690,0.2053820401589360,0.1776917653670410,0.4212482094886120,0.0890342810445061,0.1351669439097240,0.0911980948032422,0.1049374044954470,0.1075627477364120,0.1800656499351010,0.1224011667098560,0.1253164433532160,0.147848028346907,0.1058977230084410,0.0892250936577826,0.1126572342768310,0.0907347473318056,0.4456256043567140,0.471556365449256,1537,152,1,152.0,0.0988939492517892,0,1
