file,IForest,LOF,PCA,HBOS,OCSVM,MCD,KNN,KMeansAD,COPOD,CBLOF,EIF,RobustPCA,AutoEncoder,CNN,LSTMAD,TranAD,AnomalyTransformer,OmniAnomaly,USAD,Donut,TimesNet,FITS,OFA,ts_len,anomaly_len,num_anomaly,avg_anomaly_len,anomaly_ratio,point_anomaly,seq_anomaly
001_Genesis_id_1_Sensor_tr_4055_1st_15538.csv,0.0808798947062263,0.0795582690841015,0.0191862187111137,0.0769823525821735,0.0755064817203203,0.0588616430728093,0.0374581520327016,0.8909267796127140,0.0768136271840072,0.0243701574180411,0.0576369532257716,0.0049073190653246,0.0067991449688588,0.1008839318972670,0.0368911654653274,0.0363523856524792,0.0139559206957883,0.0034345968574615,0.0034345968574615,0.1771911988224530,0.0192888573223473,0.0963735066677776,0.2182861274575160,16220,50,3,16.666666666666700,0.00308261405672,0,1
002_MSL_id_1_Sensor_tr_500_1st_900.csv,0.1210039055471920,0.1786244544836800,0.1284328310778200,0.1240126700589560,0.1860276081770160,0.1477910397613830,0.1785634376738190,0.9960656085287,0.1240126700589560,0.1346336473316040,0.1951786802494330,0.0323745369437144,0.1691533449688930,0.2057411518686490,0.1555158153516730,0.0334057264039409,0.1491307879404540,0.0249208163561295,0.0695437249232218,0.130816345978285,0.0495270648279296,0.0421948378787069,0.0758049719232074,1827,11,1,11.0,0.0060207991242474,0,1
003_MSL_id_2_Sensor_tr_883_1st_1238.csv,0.0800736678820842,0.0752950533699904,0.1617926574717950,0.0914648935834253,0.0909088533770198,0.0707839973505618,0.0838864971338051,0.3009849100983020,0.0854438811124931,0.0934875512542289,0.0965999003404989,0.048692828966958,0.0812405000021305,0.0772477833309902,0.1344270032304960,0.199372232079333,0.1500276110302440,0.0680470491678578,0.0495219095871665,0.2050689149644830,0.0821812043628205,0.06576648144187,0.0788118881426434,3535,228,2,114.0,0.0644978783592645,0,1
005_MSL_id_4_Sensor_tr_855_1st_2700.csv,0.0476260031624537,0.0594872377653271,0.0682441341000117,0.0914422684080773,0.0357253095670433,0.1074818435686600,0.0759962097283504,0.1132038200828640,0.1104064908517580,0.077101706792526,0.0932792358701746,0.0316888577434469,0.1053696396360180,0.0783803952151992,0.0841537186593886,0.0428899554713266,0.0646701767411846,0.0241985080446447,0.0158323339930094,0.0826378736314292,0.0392014633597659,0.0467456235014051,0.0818535644825817,3422,71,1,71.0,0.0207481005260081,0,1
006_MSL_id_5_Sensor_tr_1150_1st_1250.csv,0.1097019863525370,0.0782597640084357,0.1133523835317390,0.1124378968888410,0.0647170804293077,0.1625609652998560,0.1149796669049940,0.2890772635781870,0.1203394741818730,0.1395053326123780,0.1124309755603080,0.1614828485457810,0.1471933534210260,0.1176540520735820,0.1214979449515130,0.0970416109334178,0.0784523923638925,0.0554971270653086,0.0601099429699475,0.4190173958477220,0.1826534947928390,0.1230975755215200,0.1140620990018160,5054,423,3,141.0,0.0836960823110407,0,1
007_MSL_id_6_Sensor_tr_980_1st_3550.csv,0.0583113100601043,0.0675713264811741,0.158457978995777,0.0964931790450119,0.050134745109167,0.0910822351430553,0.0597411016885517,0.0611827038535904,0.0789747371542438,0.082607165642714,0.0762783585477094,0.5868542510120390,0.0910655252166293,0.7531464071877080,0.6548663749783360,0.5976374104281580,0.3188645433268520,0.8644052684971410,0.8655608869925530,0.4486720834293930,0.6247334447471570,0.5557338271312530,0.2684494316700490,3922,151,1,151.0,0.0385007649158592,0,1
008_MSL_id_7_Sensor_tr_656_1st_1630.csv,0.8746965563399120,0.2375423885048020,0.3375044140366040,0.9298375051294740,0.9102426785184570,0.8642856582622020,0.4677378093172360,0.507050068771199,0.8831279004980370,0.8471000411289800,0.4330887466955450,0.1259595353118620,0.9236583892004310,0.9316206770622770,0.1636386825082350,0.2263305069887970,0.1321353848658810,0.0738612736532544,0.0589137816233114,0.4136713528938180,0.1643556095391030,0.3724002691205560,0.1756167361405370,2625,222,2,111.0,0.0845714285714285,0,1
009_MSL_id_8_Sensor_tr_714_1st_1390.csv,0.0260096401343889,0.0252076779777143,0.0322128607981019,0.0227689795679518,0.0241000743562168,0.0187243879681891,0.0222555730650102,0.0168567755126596,0.0199377183390092,0.0176201227579899,0.0182447526550668,0.0418400964259534,0.0299526352481941,0.0998229863702508,0.0347343816626565,0.0414639856294763,0.0259906162106126,0.0179305824489282,0.0419521275899766,0.0622815037038514,0.0228624741853782,0.0163746731060844,0.1476322660357970,2856,21,1,21.0,0.0073529411764705,0,1
010_MSL_id_9_Sensor_tr_554_1st_1172.csv,0.0486924403956188,0.0577545375641167,0.0476447418873869,0.05544151241323,0.099112949362464,0.0405233258342113,0.0710935319406251,0.0287315465257016,0.0637073318665243,0.043470250401667,0.056547469037327,0.0547954189550912,0.0793838879042228,0.0864013043991633,0.0526529195096313,0.0517719835499522,0.0444450307737795,0.0396064647900708,0.0495439936519423,0.0312317932156027,0.0410780525772819,0.0531088331949105,0.070634228533117,2217,69,1,69.0,0.0311231393775372,0,1
012_MSL_id_11_Sensor_tr_539_1st_940.csv,0.5735362066592,0.0981531052041069,0.2254993132529940,0.5544192706487290,0.5050041514017960,0.443158059278045,0.4614373831415880,0.6464882828568290,0.6117753189125950,0.493609290786443,0.50615382463076,0.1205855798505870,0.5085349176959640,0.6451571767546870,0.1060060254622950,0.3814065652588200,0.1504880677845310,0.1792720929797380,0.0721911467371412,0.5708424586270110,0.3579613436724370,0.4007105282699110,0.2871125761620450,2156,101,1,101.0,0.0468460111317254,0,1
013_MSL_id_12_Sensor_tr_554_1st_1200.csv,0.0929513286939271,0.1978951643280130,0.0890081796118569,0.1597365255469960,0.1991822482805100,0.1559776594504840,0.197916787624122,0.9971328585900050,0.1597365255469960,0.1583498603758320,0.1682835340940050,0.0359699593093874,0.215899977094968,0.2828982018400300,0.0643071093154603,0.0336293811349385,0.1221864703031020,0.0142649223470605,0.0182315770411118,0.2418383385151200,0.0611748681111224,0.0410328586600203,0.0812476146997252,2218,26,1,26.0,0.011722272317403,0,1
